Date,Index,x,Diff,Fluctuations,Transaction_amount,Individual,Foreign,Agency,Financial_Investment,Insurance,Commit,Fund,Bank,Other_finance,Pension,National_municipality,Corp_etc,Foreign_etc,Open,High,Low,Close,Adj Close,Volume
2018/01/31,2566.46,4.0,-1.28,-0.0005,108426.0,7940.0,-6630.0,-1843.0,-651.0,191.0,497.0,-278.0,-22.0,-24.0,-2087.0,530.0,545.0,-12.0,2557.3701171875,2597.139892578125,2553.010009765625,2566.4599609375,2566.4599609375,403100
2018/02/01,2568.54,6.0,2.08,0.0008,80530.0,2170.0,-2718.0,293.0,932.0,229.0,-122.0,-82.0,37.0,19.0,-242.0,-478.0,258.0,-4.0,2578.909912109375,2583.739990234375,2564.590087890625,2568.5400390625,2568.5400390625,595100
2018/02/02,2525.39,4.0,-43.15,-0.0168,82607.0,7373.0,-4728.0,-2809.0,-1198.0,73.0,385.0,-273.0,-42.0,-41.0,-959.0,-754.0,76.0,88.0,2565.989990234375,2565.989990234375,2519.60009765625,2525.389892578125,2525.389892578125,481800
2018/02/05,2491.75,4.0,-33.64,-0.0133,80960.0,4955.0,-4554.0,-418.0,-931.0,588.0,1190.0,311.0,-67.0,-28.0,-1329.0,-151.0,17.0,1.0,2487.340087890625,2503.989990234375,2476.239990234375,2491.75,2491.75,442400
2018/02/06,2453.31,4.0,-38.44,-0.0154,95665.0,1564.0,-2812.0,1078.0,-2176.0,625.0,1274.0,174.0,0.0,83.0,562.0,534.0,166.0,2.0,2437.02001953125,2460.280029296875,2409.3798828125,2453.31005859375,2453.31005859375,582800
2018/02/07,2396.56,4.0,-56.75,-0.0231,83693.0,9263.0,-1961.0,-7395.0,-7141.0,342.0,553.0,-255.0,-31.0,-53.0,-314.0,-495.0,45.0,46.0,2483.719970703125,2484.179931640625,2396.56005859375,2396.56005859375,2396.56005859375,460100
2018/02/08,2407.62,6.0,11.06,0.0046,72751.0,2436.0,884.0,-3482.0,-6159.0,308.0,2093.0,-208.0,-54.0,9.0,406.0,122.0,138.0,23.0,2400.169921875,2423.8798828125,2393.4599609375,2407.6201171875,2407.6201171875,362400
2018/02/09,2363.77,4.0,-43.85,-0.0182,85240.0,2760.0,-3170.0,203.0,-2179.0,80.0,1179.0,88.0,-403.0,-1.0,721.0,717.0,187.0,18.0,2346.72998046875,2372.89990234375,2346.72998046875,2363.77001953125,2363.77001953125,489100
2018/02/12,2385.38,6.0,21.61,0.0091,66310.0,971.0,-801.0,-174.0,-2790.0,412.0,1087.0,466.0,16.0,-16.0,-566.0,1216.0,-6.0,12.0,2380.489990234375,2397.89990234375,2367.31005859375,2385.3798828125,2385.3798828125,352300
2018/02/13,2395.19,6.0,9.81,0.0041,73330.0,-1660.0,3314.0,-1858.0,-2264.0,139.0,486.0,736.0,-42.0,-18.0,-696.0,-200.0,222.0,-17.0,2402.889892578125,2421.800048828125,2388.5400390625,2395.18994140625,2395.18994140625,423400
2018/02/14,2421.83,6.0,26.64,0.0111,59702.0,-2053.0,1067.0,1109.0,541.0,68.0,-264.0,710.0,36.0,5.0,-724.0,736.0,-91.0,-32.0,2412.469970703125,2426.6298828125,2408.02001953125,2421.830078125,2421.830078125,305700
2018/02/19,2442.82,6.0,20.99,0.0087,58434.0,-730.0,285.0,345.0,814.0,-187.0,77.0,291.0,78.0,-49.0,-489.0,-188.0,120.0,-21.0,2452.52001953125,2455.1201171875,2428.14990234375,2442.820068359375,2442.820068359375,322100
2018/02/20,2415.12,4.0,-27.7,-0.0113,51466.0,2549.0,290.0,-2977.0,-1571.0,-365.0,-21.0,-410.0,-47.0,-104.0,74.0,-531.0,138.0,0.0,2433.35009765625,2438.47998046875,2411.22998046875,2415.1201171875,2415.1201171875,421500
2018/02/21,2429.65,6.0,14.53,0.006,60742.0,73.0,-992.0,1143.0,-427.0,82.0,-113.0,-264.0,53.0,19.0,1703.0,90.0,-201.0,-23.0,2417.72998046875,2432.449951171875,2404.02001953125,2429.64990234375,2429.64990234375,432300
2018/02/22,2414.28,4.0,-15.37,-0.0063,49820.0,1995.0,-975.0,-1073.0,-1423.0,-95.0,-107.0,50.0,-12.0,5.0,283.0,226.0,54.0,-1.0,2417.179931640625,2422.6201171875,2405.22998046875,2414.280029296875,2414.280029296875,349500
2018/02/23,2451.52,6.0,37.24,0.0154,53870.0,-5229.0,1576.0,3766.0,2573.0,102.0,232.0,312.0,28.0,-34.0,160.0,392.0,-92.0,-20.0,2427.1298828125,2451.52001953125,2427.1298828125,2451.52001953125,2451.52001953125,300600
2018/02/26,2457.65,6.0,6.13,0.0025,56060.0,-1372.0,-1813.0,3518.0,2736.0,197.0,89.0,192.0,-29.0,-1.0,101.0,231.0,-321.0,-10.0,2465.35009765625,2466.080078125,2447.860107421875,2457.64990234375,2457.64990234375,321300
2018/02/27,2456.14,4.0,-1.51,-0.0006,56741.0,-1894.0,57.0,2044.0,880.0,288.0,294.0,187.0,-71.0,-2.0,674.0,-206.0,-194.0,-13.0,2474.080078125,2480.7900390625,2456.139892578125,2456.139892578125,2456.139892578125,271200
2018/02/28,2427.36,4.0,-28.78,-0.0117,71683.0,1074.0,1439.0,-2645.0,-2296.0,430.0,316.0,-645.0,-22.0,-9.0,367.0,-785.0,133.0,-2.0,2447.110107421875,2460.1201171875,2426.2099609375,2427.360107421875,2427.360107421875,367600
2018/03/02,2402.16,4.0,-25.2,-0.0104,60778.0,5344.0,-2327.0,-2731.0,-3013.0,459.0,-140.0,-237.0,63.0,-2.0,7.0,131.0,-285.0,0.0,2406.570068359375,2410.340087890625,2387.25,2402.159912109375,2402.159912109375,320400
2018/03/05,2375.06,4.0,-27.1,-0.0113,57850.0,3204.0,-902.0,-2135.0,-1682.0,75.0,39.0,-755.0,34.0,-37.0,177.0,12.0,-179.0,13.0,2405.919921875,2407.97998046875,2374.800048828125,2375.06005859375,2375.06005859375,312300
2018/03/06,2411.41,6.0,36.35,0.0153,65985.0,-1713.0,134.0,1607.0,-296.0,106.0,177.0,950.0,106.0,25.0,-35.0,573.0,-25.0,-4.0,2400.669921875,2413.010009765625,2392.8701171875,2411.409912109375,2411.409912109375,400100
2018/03/07,2401.82,4.0,-9.59,-0.004,89566.0,3584.0,-2574.0,-1036.0,-1041.0,167.0,-529.0,176.0,70.0,23.0,609.0,-512.0,46.0,-20.0,2413.389892578125,2429.429931640625,2395.239990234375,2401.820068359375,2401.820068359375,413000
2018/03/08,2433.08,6.0,31.26,0.013,90530.0,-4264.0,-1754.0,5948.0,4814.0,789.0,-818.0,348.0,-34.0,3.0,636.0,209.0,58.0,12.0,2420.669921875,2433.080078125,2407.590087890625,2433.080078125,2433.080078125,394800
2018/03/09,2459.45,6.0,26.37,0.0108,85736.0,-4900.0,1960.0,2915.0,1025.0,36.0,947.0,-96.0,178.0,-64.0,-11.0,900.0,-4.0,28.0,2443.429931640625,2476.429931640625,2436.030029296875,2459.449951171875,2459.449951171875,437300
2018/03/12,2484.12,6.0,24.67,0.01,65706.0,-2917.0,1935.0,1008.0,119.0,-252.0,808.0,-219.0,124.0,18.0,18.0,390.0,-29.0,2.0,2485.639892578125,2489.4599609375,2474.909912109375,2484.1201171875,2484.1201171875,391300
2018/03/13,2494.49,6.0,10.37,0.0042,78287.0,-3103.0,5923.0,-2649.0,-1894.0,-272.0,-659.0,165.0,10.0,-13.0,385.0,-371.0,-64.0,-105.0,2483.050048828125,2494.489990234375,2478.760009765625,2494.489990234375,2494.489990234375,350200
2018/03/14,2486.08,4.0,-8.41,-0.0034,63797.0,2840.0,-1272.0,-1429.0,-1095.0,-524.0,-561.0,-123.0,-68.0,2.0,70.0,871.0,-116.0,-22.0,2477.429931640625,2486.97998046875,2474.77001953125,2486.080078125,2486.080078125,360900
2018/03/15,2492.38,6.0,6.3,0.0025,60658.0,194.0,-399.0,296.0,-373.0,-243.0,-491.0,217.0,128.0,-9.0,649.0,417.0,-70.0,-21.0,2486.0,2496.510009765625,2471.0400390625,2492.3798828125,2492.3798828125,344000
2018/03/16,2493.97,6.0,1.59,0.0006,65664.0,12.0,1664.0,-596.0,-361.0,-18.0,3.0,-132.0,93.0,-2.0,222.0,-399.0,-1053.0,-26.0,2495.110107421875,2497.800048828125,2476.8798828125,2493.969970703125,2493.969970703125,377800
2018/03/19,2475.03,4.0,-18.94,-0.0076,59945.0,1482.0,-845.0,-530.0,-22.0,-66.0,-311.0,-84.0,11.0,24.0,138.0,-221.0,-119.0,12.0,2491.989990234375,2493.56005859375,2470.909912109375,2475.030029296875,2475.030029296875,477200
2018/03/20,2485.52,6.0,10.49,0.0042,53841.0,62.0,-1231.0,1046.0,1173.0,-58.0,-508.0,-326.0,159.0,-4.0,135.0,476.0,125.0,-3.0,2456.800048828125,2485.52001953125,2456.800048828125,2485.52001953125,2485.52001953125,291500
2018/03/21,2484.97,4.0,-0.55,-0.0002,59255.0,-637.0,-682.0,1299.0,1277.0,-127.0,-141.0,-296.0,-30.0,14.0,134.0,468.0,-6.0,25.0,2488.219970703125,2492.8798828125,2483.780029296875,2484.969970703125,2484.969970703125,399100
2018/03/22,2496.02,6.0,11.05,0.0044,71787.0,-2986.0,2118.0,820.0,1561.0,-283.0,-15.0,-154.0,44.0,-15.0,415.0,-732.0,84.0,-36.0,2494.840087890625,2508.7099609375,2485.340087890625,2496.02001953125,2496.02001953125,482100
2018/03/23,2416.76,4.0,-79.26,-0.0318,79314.0,7517.0,-1332.0,-6437.0,-3701.0,-16.0,-283.0,-927.0,15.0,-77.0,-79.0,-1367.0,236.0,15.0,2446.72998046875,2450.39990234375,2412.6201171875,2416.760009765625,2416.760009765625,458000
2018/03/26,2437.08,6.0,20.32,0.0084,59286.0,519.0,-1017.0,464.0,-272.0,314.0,-105.0,78.0,-54.0,-11.0,16.0,500.0,25.0,7.0,2414.679931640625,2437.080078125,2399.43994140625,2437.080078125,2437.080078125,306900
2018/03/27,2452.06,6.0,14.98,0.0061,63055.0,-897.0,93.0,762.0,494.0,146.0,-102.0,15.0,61.0,43.0,72.0,30.0,-8.0,50.0,2455.0,2456.550048828125,2444.919921875,2452.06005859375,2452.06005859375,332100
2018/03/28,2419.29,4.0,-32.77,-0.0134,77610.0,2766.0,-2514.0,-330.0,-1335.0,-87.0,742.0,-320.0,275.0,-51.0,473.0,-26.0,27.0,51.0,2425.93994140625,2430.77001953125,2409.469970703125,2419.2900390625,2419.2900390625,501300
2018/03/29,2436.37,6.0,17.08,0.0071,72567.0,5777.0,-2700.0,338.0,-21.0,-184.0,436.0,38.0,19.0,13.0,-566.0,603.0,-3412.0,-4.0,2421.699951171875,2439.469970703125,2413.7099609375,2436.3701171875,2436.3701171875,333400
2018/03/30,2445.85,6.0,9.48,0.0039,64344.0,-1153.0,-1683.0,2966.0,1850.0,25.0,261.0,489.0,-19.0,-38.0,283.0,115.0,-95.0,-33.0,2454.10009765625,2458.239990234375,2445.719970703125,2445.85009765625,2445.85009765625,395300
2018/04/02,2444.16,4.0,-1.69,-0.0007,68416.0,738.0,-256.0,-216.0,208.0,-177.0,89.0,155.0,-31.0,12.0,-315.0,-158.0,-252.0,-12.0,2454.719970703125,2467.52001953125,2440.889892578125,2444.159912109375,2444.159912109375,390300
2018/04/03,2442.43,4.0,-1.73,-0.0007,79500.0,1289.0,-1049.0,-164.0,239.0,32.0,230.0,115.0,-9.0,-45.0,-370.0,-357.0,-60.0,-14.0,2422.260009765625,2442.429931640625,2416.43994140625,2442.429931640625,2442.429931640625,497100
2018/04/04,2408.06,4.0,-34.37,-0.0141,80920.0,5285.0,-1969.0,-3489.0,-2729.0,-136.0,249.0,53.0,-8.0,-11.0,35.0,-943.0,193.0,-19.0,2447.969970703125,2447.969970703125,2405.909912109375,2408.06005859375,2408.06005859375,551700
2018/04/05,2437.52,6.0,29.46,0.0122,75669.0,-2735.0,1452.0,1202.0,-98.0,63.0,294.0,5.0,68.0,60.0,348.0,460.0,58.0,22.0,2426.919921875,2446.780029296875,2420.919921875,2437.52001953125,2437.52001953125,591000
2018/04/06,2429.58,4.0,-7.94,-0.0033,73010.0,2289.0,-2364.0,194.0,741.0,-81.0,-183.0,-546.0,31.0,-36.0,-294.0,563.0,-91.0,-27.0,2420.8798828125,2433.969970703125,2417.239990234375,2429.580078125,2429.580078125,454300
2018/04/09,2444.08,6.0,14.5,0.006,66073.0,-557.0,-550.0,1140.0,765.0,-78.0,-81.0,58.0,-15.0,3.0,139.0,348.0,-17.0,-14.0,2424.14990234375,2446.280029296875,2424.14990234375,2444.080078125,2444.080078125,334400
2018/04/10,2450.74,6.0,6.66,0.0027,75201.0,326.0,-1183.0,1108.0,293.0,163.0,188.0,321.0,18.0,-43.0,271.0,-105.0,-228.0,-23.0,2439.93994140625,2454.360107421875,2419.550048828125,2450.739990234375,2450.739990234375,356400
2018/04/11,2444.22,4.0,-6.52,-0.0027,74681.0,1980.0,4644.0,-980.0,-1735.0,-9.0,258.0,-102.0,-11.0,46.0,1113.0,-540.0,-5640.0,-4.0,2456.530029296875,2458.989990234375,2441.199951171875,2444.219970703125,2444.219970703125,355200
2018/04/12,2442.71,4.0,-1.51,-0.0006,81528.0,-730.0,2323.0,-1518.0,-2234.0,105.0,95.0,75.0,97.0,-23.0,429.0,-63.0,-96.0,22.0,2450.949951171875,2454.949951171875,2441.580078125,2442.7099609375,2442.7099609375,441600
2018/04/13,2455.07,6.0,12.36,0.0051,69239.0,-35.0,528.0,-469.0,-1984.0,220.0,191.0,3.0,21.0,28.0,392.0,657.0,-37.0,14.0,2449.419921875,2457.85009765625,2442.35009765625,2455.070068359375,2455.070068359375,395900
2018/04/16,2457.49,6.0,2.42,0.001,62207.0,657.0,-371.0,-108.0,325.0,-203.0,164.0,-256.0,17.0,58.0,-126.0,-87.0,-183.0,5.0,2466.0400390625,2466.159912109375,2449.969970703125,2457.489990234375,2457.489990234375,347200
2018/04/17,2453.77,4.0,-3.72,-0.0015,63606.0,2220.0,-2766.0,486.0,550.0,-210.0,-270.0,134.0,-15.0,-15.0,239.0,74.0,53.0,6.0,2459.389892578125,2465.6298828125,2449.080078125,2453.77001953125,2453.77001953125,394700
2018/04/18,2479.98,6.0,26.21,0.0107,82043.0,-3882.0,3510.0,524.0,787.0,268.0,-371.0,523.0,5.0,-38.0,-189.0,-459.0,-81.0,-71.0,2467.550048828125,2486.72998046875,2467.550048828125,2479.97998046875,2479.97998046875,647300
2018/04/19,2486.1,6.0,6.12,0.0025,101183.0,645.0,1815.0,-2405.0,-1057.0,113.0,-527.0,-459.0,18.0,-116.0,-62.0,-315.0,-54.0,-1.0,2483.260009765625,2490.570068359375,2476.510009765625,2486.10009765625,2486.10009765625,727000
2018/04/20,2476.33,4.0,-9.77,-0.0039,78415.0,3422.0,-4910.0,1611.0,1249.0,19.0,-133.0,-532.0,-58.0,-29.0,312.0,784.0,-150.0,26.0,2478.590087890625,2485.14990234375,2472.3701171875,2476.330078125,2476.330078125,531700
2018/04/23,2474.11,4.0,-2.22,-0.0009,93726.0,3143.0,-2932.0,92.0,334.0,-3.0,341.0,-262.0,-54.0,-38.0,236.0,-461.0,-289.0,-13.0,2473.699951171875,2478.570068359375,2466.570068359375,2474.110107421875,2474.110107421875,701400
2018/04/24,2464.14,4.0,-9.97,-0.004,83008.0,2707.0,-4389.0,1683.0,1250.0,214.0,-34.0,104.0,11.0,-15.0,593.0,-441.0,-3.0,2.0,2478.469970703125,2479.320068359375,2454.43994140625,2464.139892578125,2464.139892578125,524300
2018/04/25,2448.81,4.0,-15.33,-0.0062,75279.0,6137.0,-7656.0,69.0,-642.0,143.0,406.0,-473.0,-31.0,-26.0,990.0,-297.0,1412.0,37.0,2444.18994140625,2453.5400390625,2436.510009765625,2448.81005859375,2448.81005859375,466100
2018/04/26,2475.64,6.0,26.83,0.011,79217.0,14.0,1721.0,-1654.0,-985.0,250.0,-572.0,-395.0,-38.0,-46.0,137.0,-3.0,-69.0,-12.0,2460.6201171875,2484.090087890625,2456.199951171875,2475.639892578125,2475.639892578125,520900
2018/04/27,2492.4,6.0,16.76,0.0068,82992.0,2576.0,1599.0,-4116.0,-1535.0,-467.0,-1394.0,-752.0,-62.0,-49.0,503.0,-357.0,-71.0,11.0,2497.75,2508.1298828125,2484.18994140625,2492.39990234375,2492.39990234375,465000
2018/04/30,2515.38,6.0,22.98,0.0092,94602.0,-1891.0,2430.0,-112.0,-376.0,-110.0,360.0,226.0,-70.0,-23.0,-34.0,-83.0,-428.0,1.0,2502.2900390625,2515.3798828125,2500.219970703125,2515.3798828125,2515.3798828125,746300
2018/05/02,2505.61,4.0,-9.77,-0.0039,117122.0,2790.0,-1667.0,-1202.0,-639.0,-165.0,-108.0,-425.0,-66.0,-14.0,169.0,48.0,43.0,35.0,2515.75,2516.570068359375,2501.7099609375,2505.610107421875,2505.610107421875,807600
2018/05/03,2487.25,4.0,-18.36,-0.0073,78660.0,2596.0,-3232.0,188.0,86.0,-86.0,129.0,-81.0,-38.0,-25.0,49.0,154.0,454.0,-6.0,2506.93994140625,2507.909912109375,2487.25,2487.25,2487.25,614100
2018/05/04,2461.38,4.0,-25.87,-0.0104,108165.0,7639.0,-226.0,-7255.0,-4044.0,-414.0,-1982.0,-936.0,-113.0,-2.0,164.0,73.0,-159.0,1.0,2486.469970703125,2487.77001953125,2461.3798828125,2461.3798828125,2461.3798828125,612000
2018/05/08,2449.81,4.0,-11.57,-0.0047,96307.0,1015.0,-322.0,-1252.0,76.0,-99.0,-984.0,-724.0,-15.0,55.0,359.0,79.0,571.0,-11.0,2468.449951171875,2479.75,2444.080078125,2449.81005859375,2449.81005859375,714700
2018/05/09,2443.98,4.0,-5.83,-0.0024,90694.0,-413.0,-2284.0,2408.0,1861.0,149.0,-104.0,-61.0,-33.0,-3.0,436.0,164.0,307.0,-18.0,2450.7099609375,2451.860107421875,2428.7900390625,2443.97998046875,2443.97998046875,593400
2018/05/10,2464.16,6.0,20.18,0.0083,88704.0,-729.0,-400.0,806.0,1402.0,112.0,-673.0,-169.0,-49.0,9.0,345.0,-171.0,332.0,-8.0,2458.669921875,2464.719970703125,2448.010009765625,2464.159912109375,2464.159912109375,490000
2018/05/11,2477.71,6.0,13.55,0.0055,75887.0,-4180.0,1995.0,1855.0,820.0,194.0,-339.0,-336.0,56.0,-4.0,577.0,885.0,334.0,-5.0,2469.300048828125,2483.85009765625,2468.409912109375,2477.7099609375,2477.7099609375,599900
2018/05/14,2476.11,4.0,-1.6,-0.0006,95631.0,-1011.0,-955.0,1692.0,1927.0,-5.0,297.0,-228.0,-95.0,0.0,127.0,-331.0,266.0,8.0,2482.969970703125,2486.169921875,2471.909912109375,2476.110107421875,2476.110107421875,650700
2018/05/15,2458.54,4.0,-17.57,-0.0071,94463.0,3949.0,-2401.0,-1969.0,-1100.0,-109.0,2.0,-150.0,-108.0,-41.0,24.0,-485.0,402.0,19.0,2476.8701171875,2480.219970703125,2456.199951171875,2458.5400390625,2458.5400390625,712600
2018/05/16,2459.82,6.0,1.28,0.0005,98171.0,-1750.0,110.0,2485.0,758.0,116.0,-343.0,-49.0,-61.0,-95.0,1552.0,609.0,-847.0,1.0,2446.639892578125,2465.550048828125,2444.669921875,2459.820068359375,2459.820068359375,691800
2018/05/17,2448.45,4.0,-11.37,-0.0046,81905.0,1455.0,-2707.0,1057.0,984.0,-68.0,53.0,-348.0,-83.0,-54.0,361.0,214.0,183.0,12.0,2468.719970703125,2472.820068359375,2448.429931640625,2448.449951171875,2448.449951171875,596800
2018/05/18,2460.65,6.0,12.2,0.005,64630.0,-1540.0,-384.0,1513.0,679.0,2.0,280.0,196.0,-58.0,-36.0,338.0,108.0,414.0,-2.0,2459.72998046875,2461.949951171875,2452.340087890625,2460.64990234375,2460.64990234375,431400
2018/05/21,2465.57,6.0,4.92,0.002,62984.0,68.0,-761.0,332.0,452.0,-33.0,301.0,-668.0,-146.0,53.0,454.0,-80.0,360.0,0.0,2464.070068359375,2472.300048828125,2447.68994140625,2465.570068359375,2465.570068359375,588100
2018/05/23,2471.91,6.0,6.34,0.0026,92620.0,-712.0,2754.0,-2621.0,-2809.0,-245.0,253.0,231.0,-103.0,-66.0,488.0,-371.0,596.0,-17.0,2462.97998046875,2476.860107421875,2460.070068359375,2471.909912109375,2471.909912109375,752700
2018/05/24,2466.01,4.0,-5.9,-0.0024,67662.0,850.0,330.0,-2057.0,-900.0,-5.0,-386.0,-530.0,2.0,-5.0,-34.0,-196.0,878.0,-2.0,2477.47998046875,2481.31005859375,2457.840087890625,2466.010009765625,2466.010009765625,638100
2018/05/25,2460.8,4.0,-5.21,-0.0021,90785.0,-4809.0,3339.0,1206.0,-474.0,166.0,112.0,220.0,167.0,-83.0,1170.0,-73.0,293.0,-29.0,2452.800048828125,2466.570068359375,2444.77001953125,2460.800048828125,2460.800048828125,653600
2018/05/28,2478.96,6.0,18.16,0.0074,98412.0,2648.0,-1610.0,-1384.0,-518.0,39.0,-103.0,-581.0,-106.0,-46.0,-222.0,154.0,354.0,-7.0,2465.0,2482.39990234375,2463.139892578125,2478.9599609375,2478.9599609375,708400
2018/05/29,2457.25,4.0,-21.71,-0.0088,85328.0,3114.0,-2284.0,-1204.0,-792.0,54.0,-549.0,-70.0,-223.0,99.0,702.0,-424.0,384.0,-9.0,2476.699951171875,2479.679931640625,2457.179931640625,2457.25,2457.25,571800
2018/05/30,2409.03,4.0,-48.22,-0.0196,89994.0,10151.0,-6904.0,-4069.0,-3437.0,581.0,-432.0,-262.0,37.0,82.0,-95.0,-542.0,775.0,47.0,2446.81005859375,2449.8798828125,2399.580078125,2409.030029296875,2409.030029296875,575900
2018/05/31,2423.01,6.0,13.98,0.0058,132521.0,2412.0,9500.0,-12383.0,-1034.0,-12796.0,-173.0,623.0,61.0,64.0,538.0,333.0,464.0,6.0,2428.830078125,2430.14990234375,2415.5,2423.010009765625,2423.010009765625,816900
