Date,Index,x,Diff,Fluctuations,Transaction_amount,Individual,Foreign,Agency,Financial_Investment,Insurance,Commit,Fund,Bank,Other_finance,Pension,National_municipality,Corp_etc,Foreign_etc
2021/01/06,2968.21,4,-22.36,-0.0075,299093,17292,-4021,-13691,-4676,-1150,-1892,-1227,-281,-66,-4395,0,373,47
2021/01/05,2990.57,6,46.12,0.0157,265483,7283,-2089,-5362,402,-996,-742,-644,19,-1,-3400,0,160,6
2021/01/04,2944.45,6,70.98,0.0247,250113,10310,843,-11898,-1746,-1943,-3168,-1853,-15,65,-3237,0,691,53
2020/12/30,2873.47,6,52.96,0.0188,179288,-4916,2494,1958,5363,-597,-911,-775,-105,-13,-1002,0,499,-36
2020/12/29,2820.51,6,11.91,0.0042,192990,21969,-3172,-19733,-14318,-553,-1477,-880,-546,20,-1977,0,870,66
2020/12/28,2808.6,6,1.74,0.0006,241977,-9460,710,8303,10956,-785,-964,-36,95,-199,-762,0,376,69
2020/12/24,2806.86,6,47.04,0.017,199846,-8031,1243,6296,7585,-567,-8,280,-22,17,-988,0,542,-51
2020/12/23,2759.82,6,26.14,0.0096,202812,-3858,832,3016,3817,-158,-389,-549,-37,-15,349,0,13,-3
2020/12/22,2733.68,4,-44.97,-0.0162,198813,3693,-1471,-2028,-524,-336,-519,-550,-1,-26,-70,0,31,-224
2020/12/21,2778.65,6,6.47,0.0023,189722,-855,-99,1322,518,-141,-81,173,-9,-50,913,0,-359,-8
2020/12/18,2772.18,6,1.75,0.0006,191662,3897,-1939,-1497,521,-161,-759,-260,-28,3,-812,0,-482,21
2020/12/17,2770.43,4,-1.36,-0.0005,162753,3252,-2586,-106,2247,-253,-715,-551,-75,-66,-691,0,-561,2
2020/12/16,2771.79,6,14.97,0.0054,136496,-2402,932,2126,3211,-674,-172,-116,-25,2,-97,0,-657,1
2020/12/15,2756.82,4,-5.38,-0.0019,155379,6076,-3724,-2375,-60,-435,-534,-426,-17,-38,-861,0,33,-11
2020/12/14,2762.2,4,-7.86,-0.0028,170122,10333,-3670,-7032,-4209,-648,-624,-258,-7,19,-1303,0,287,81
2020/12/11,2770.06,6,23.6,0.0086,183291,-476,-1539,2100,2972,-285,-950,-16,-25,-19,425,0,2,-87
2020/12/10,2746.46,4,-9.01,-0.0033,206306,8912,-13662,4440,9249,75,-1111,20,93,90,-3976,0,283,26
2020/12/09,2755.47,6,54.54,0.0202,170076,-5061,1633,3058,5259,-395,-499,180,60,37,-1584,0,378,-7
2020/12/08,2700.93,4,-44.51,-0.0162,171571,11228,-8520,-2701,136,-618,-1477,-627,-64,-20,-29,0,-77,71
2020/12/07,2745.44,6,13.99,0.0051,179330,9767,-652,-9237,-4211,-664,-1721,-692,-76,-31,-1840,0,98,23
2020/12/04,2731.45,6,35.23,0.0131,198758,-3432,7622,-4100,365,-870,-623,-403,-37,-203,-2326,0,-76,-11
2020/12/03,2696.22,6,20.32,0.0076,156050,1779,2103,-3848,-1342,-471,-958,-11,5,-93,-977,0,-28,-5
2020/12/02,2675.9,6,41.65,0.0158,175067,-2447,5180,-2506,-1626,-211,-112,-197,-16,21,-364,0,-221,-4
2020/12/01,2634.25,6,42.91,0.0166,159472,-3460,748,2676,3298,-298,-97,-35,34,-94,-132,0,49,-13
2020/11/30,2591.34,4,-42.11,-0.016,212318,22205,-24377,2048,3331,-362,-855,-53,69,17,-98,0,23,99
2020/11/27,2633.45,6,7.54,0.0029,126416,1945,797,-2793,-986,-45,-735,-696,-7,-18,-302,0,62,-11
2020/11/26,2625.91,6,24.37,0.0094,127145,2569,2516,-5188,-1837,-126,-1398,-167,-11,39,-1686,0,79,22
2020/11/25,2601.54,4,-16.22,-0.0062,217958,5062,-419,-4001,1754,-540,-1929,-694,3,-28,-2565,0,-692,50
2020/11/24,2617.76,6,15.17,0.0058,168865,-245,7269,-6940,-2434,-555,-1025,-744,-12,-30,-2137,0,-76,-6
2020/11/23,2602.59,6,49.09,0.0192,157635,-8734,9888,-600,155,-592,-559,64,-17,-42,391,0,-498,-54
2020/11/20,2553.5,6,6.08,0.0024,122661,1216,1037,-2264,-390,-413,-1204,-67,-20,6,-174,0,9,1
2020/11/19,2547.42,6,1.78,0.0007,125150,2017,1056,-3016,-1635,-116,-528,-316,17,-9,-427,0,-64,6
2020/11/18,2545.64,6,6.49,0.0026,135540,-1267,666,780,2021,-298,-1216,-364,3,3,631,0,-188,9
2020/11/17,2539.15,4,-3.88,-0.0015,177955,1530,3515,-5037,-2510,-582,-1100,-277,-23,30,-573,0,-67,59
2020/11/16,2543.03,6,49.16,0.0197,190883,-1539,4655,-2855,1240,-903,-833,-50,-65,-239,-2003,0,-222,-38
2020/11/13,2493.87,6,18.25,0.0074,170438,-5896,5262,947,1540,-254,-587,68,67,-22,137,0,-267,-47
2020/11/12,2475.62,4,-10.25,-0.0041,164200,3537,4898,-8608,-6294,-135,-183,-634,7,-38,-1329,0,158,14
2020/11/11,2485.87,6,33.04,0.0135,183073,-11906,8377,4018,4918,-114,-631,-217,-35,35,64,0,-274,-214
2020/11/10,2452.83,6,5.63,0.0023,179813,1871,1601,-3283,-2048,-99,-622,-198,-13,0,-300,0,-155,-34
2020/11/09,2447.2,6,30.7,0.0127,148472,-6788,3336,3564,5812,-416,-172,33,-8,-24,-1659,0,-66,-45
2020/11/06,2416.5,6,2.71,0.0011,125793,-7975,7950,-43,640,-611,-101,173,-5,26,-166,0,112,-43
2020/11/05,2413.79,6,56.47,0.024,125787,-16218,11411,4862,4448,-152,602,337,35,39,-448,0,7,-62
2020/11/04,2357.32,6,14.01,0.006,148350,-1661,-2173,3427,3902,-368,-9,65,47,11,-222,0,414,-6
2020/11/03,2343.31,6,43.15,0.0188,108742,-6471,2176,4694,3107,95,186,291,-7,12,1008,0,-360,-38
2020/11/02,2300.16,6,33.01,0.0146,85144,-1085,492,487,-560,114,113,-3,1,11,810,0,91,14
2020/10/30,2267.15,4,-59.52,-0.0256,117821,14140,-9824,-4438,-3274,-138,-196,-516,-5,-10,-294,0,78,44
2020/10/29,2326.67,4,-18.59,-0.0079,103577,9813,-5385,-4755,-3985,98,-1,-233,37,-16,-652,0,319,8
2020/10/28,2345.26,6,14.42,0.0062,89410,1532,92,-1767,-1592,-424,161,218,-3,27,-153,0,101,40
2020/10/27,2330.84,4,-13.07,-0.0056,112691,1069,1059,-2496,-2304,127,61,-138,9,3,-256,0,380,-12
2020/10/26,2343.91,4,-16.9,-0.0072,116542,-1126,-1454,2718,827,297,719,141,16,-5,721,0,-154,16
2020/10/23,2360.81,6,5.76,0.0024,107241,-2722,385,2333,635,195,398,263,-15,0,856,0,0,2
2020/10/22,2355.05,4,-15.81,-0.0067,97749,678,-738,75,433,304,-467,-70,-5,12,-131,0,-20,4
2020/10/21,2370.86,6,12.45,0.0053,98640,-1283,-238,1426,2150,471,152,-317,8,24,-1064,0,102,-7
2020/10/20,2358.41,6,11.67,0.005,118335,-2924,431,2604,2222,-72,112,-370,-1,-19,733,0,-117,6
2020/10/19,2346.74,6,5.21,0.0022,104907,-3424,377,2968,4506,-123,289,-84,-11,14,-1622,0,112,-33
2020/10/16,2341.53,4,-19.68,-0.0083,111414,4892,-1713,-2036,875,-238,-564,-525,-22,49,-1609,0,-1145,2
2020/10/15,2361.21,4,-19.27,-0.0081,130294,3281,-161,-1169,-365,210,122,-772,-15,-91,-256,0,-1928,-22
2020/10/14,2380.48,4,-22.67,-0.0094,110184,4127,-367,-3756,-957,-341,-387,-336,-18,8,-1724,0,-25,21
2020/10/13,2403.15,4,-0.58,-0.0002,102031,-332,2126,-1773,-1117,-72,-16,-58,2,5,-517,0,-30,10
2020/10/12,2403.73,6,11.77,0.0049,106932,-2359,1396,844,788,-41,62,-178,5,-18,224,0,123,-4
2020/10/08,2391.96,6,5.02,0.0021,125304,-1659,7610,-6149,-5569,-17,263,166,-8,9,-993,0,205,-6
2020/10/07,2386.94,6,21.04,0.0089,89711,-3460,-975,4302,3934,80,-194,16,6,15,443,0,111,21
2020/10/06,2365.9,6,7.9,0.0034,111314,-2044,1701,197,-286,-70,51,217,-2,37,251,0,121,24
2020/10/05,2358,6,30.11,0.0129,106827,-5500,1743,3852,2486,346,181,190,5,-59,701,0,-91,-3
2020/09/29,2327.89,6,19.81,0.0086,94871,-1114,-711,1424,2017,307,378,255,12,-4,-1542,0,425,-23
2020/09/28,2308.08,6,29.29,0.0129,89711,-1055,-579,1502,1815,7,115,9,5,-3,-446,0,142,-9
2020/09/25,2278.79,6,6.09,0.0027,101816,195,-898,727,789,-60,-24,-44,-21,13,76,0,-25,0
2020/09/24,2272.7,4,-60.54,-0.0259,124690,3289,-1914,-1570,-685,71,-25,-455,-18,17,-476,0,204,-7
2020/09/23,2333.24,6,0.65,0.0003,135629,3252,-559,-2804,-2598,0,-129,-77,18,114,-132,0,129,-17
2020/09/22,2332.59,4,-56.8,-0.0238,178967,9912,-171,-7691,-4898,-29,-401,-525,-67,-49,-1719,0,-2079,28
2020/09/21,2389.39,4,-23.01,-0.0095,142150,410,-737,391,1137,7,-214,-258,-25,18,-273,0,-19,-45
2020/09/18,2412.4,6,6.23,0.0026,139651,-1405,1452,-157,762,-150,-278,-364,-38,2,-90,0,90,20
2020/09/17,2406.17,4,-29.75,-0.0122,142350,4587,-1255,-3358,-2138,-77,-289,-421,15,-4,-441,0,14,11
2020/09/16,2435.92,4,-7.66,-0.0031,118553,1432,1750,-3051,-1118,-183,-1087,-281,-21,10,-368,0,-173,41
2020/09/15,2443.58,6,15.67,0.0065,118405,-764,2503,-2001,-1035,-232,-802,-100,17,9,143,0,234,28
2020/09/14,2427.91,6,31.22,0.013,120217,-2875,1439,1074,2063,299,-469,15,11,-16,-830,0,374,-12
2020/09/11,2396.69,6,0.21,0.0001,120688,4533,-1512,-3109,-1276,-73,-542,-270,-5,5,-946,0,74,14
2020/09/10,2396.48,6,20.67,0.0087,157829,662,3820,-4721,-1193,-241,-973,-287,34,-1,-2058,0,240,-2
2020/09/09,2375.81,4,-26.1,-0.0109,155025,5129,-1136,-4298,-949,67,-924,-586,-60,2,-1847,0,285,20
2020/09/08,2401.91,6,17.69,0.0074,172978,357,-336,-208,557,-362,-817,-269,18,31,633,0,149,38
2020/09/07,2384.22,6,15.97,0.0067,171833,5482,-2512,-2975,-1472,-353,-191,47,-95,-3,-907,0,0,4
2020/09/04,2368.25,4,-27.65,-0.0115,196929,12854,-4714,-7798,-5111,-274,-565,-818,1,19,-1049,0,-378,37
2020/09/03,2395.9,6,31.53,0.0133,174209,-952,1921,-1350,-571,-99,-482,310,-35,23,-495,0,364,17
2020/09/02,2364.37,6,14.82,0.0063,157931,3342,-2540,-798,-41,-85,-376,-187,-17,-15,-74,0,17,-19
2020/09/01,2349.55,6,23.38,0.0101,166643,2389,-2083,-566,790,-45,-464,-111,-438,9,-306,0,233,26
2020/08/31,2326.17,4,-27.63,-0.0117,194943,15695,-16361,-65,953,17,-547,-82,-184,11,-234,0,696,35
2020/08/28,2353.8,6,9.35,0.004,155399,1158,-2249,1225,1886,-366,-297,20,-41,-26,48,0,-141,7
2020/08/27,2344.45,4,-24.87,-0.0105,151849,4663,-256,-4726,-3431,-182,-548,-174,7,-5,-391,0,307,11
2020/08/26,2369.32,6,2.59,0.0011,144358,1929,1896,-4125,-3517,120,-174,-32,1,32,-555,0,285,13
2020/08/25,2366.73,6,36.9,0.0158,135679,-709,1571,-1233,-1337,155,-173,102,-27,-3,51,0,372,-1
2020/08/24,2329.83,6,25.24,0.011,116541,-2599,1992,40,247,55,-347,11,33,-10,50,0,583,-16
2020/08/21,2304.59,6,30.37,0.0134,141116,-1362,1982,-334,1077,-8,-1134,-241,-39,3,8,0,-273,-12
2020/08/20,2274.22,4,-86.32,-0.0366,171017,10738,-2805,-8213,-4850,-822,-975,-652,-4,-11,-897,0,202,77
2020/08/19,2360.54,6,12.3,0.0052,123675,4583,-2662,-2022,142,-187,-1159,63,-37,-26,-817,0,103,-2
2020/08/18,2348.24,4,-59.25,-0.0246,175724,-5271,745,4760,6614,306,-710,-406,5,-26,-1022,0,-222,-12
2020/08/14,2407.49,4,-30.04,-0.0123,165956,5962,-4641,-1243,2800,-154,-1245,-730,-5,-62,-1845,0,-100,22
2020/08/13,2437.53,6,5.18,0.0021,182500,1542,-3475,1872,4816,27,-1579,-145,68,2,-1316,0,5,54
2020/08/12,2432.35,6,13.68,0.0057,166800,3509,-1549,-2025,-403,36,-560,-213,10,-6,-888,0,54,11
2020/08/11,2418.67,6,32.29,0.0135,196804,-1737,1512,386,3822,-691,-907,-390,-63,-91,-1292,0,-116,-44
2020/08/10,2386.38,6,34.71,0.0148,195113,3523,-1329,-2315,168,-838,-719,-364,13,-144,-430,0,69,52
2020/08/07,2351.67,6,9.06,0.0039,175857,8534,-729,-7870,-4018,-639,-807,-506,-26,-39,-1832,0,72,-6
2020/08/06,2342.61,6,30.75,0.0133,178316,-850,1684,-800,2247,-516,-548,-444,46,-138,-1446,0,12,-46
2020/08/05,2311.86,6,31.89,0.014,178830,4315,-456,-3665,-1276,-441,-504,-366,-18,-29,-1029,0,-133,-59
2020/08/04,2279.97,6,28.93,0.0129,152872,1843,-615,-1487,391,-492,-178,-26,13,-53,-1142,0,227,32
2020/08/03,2251.04,6,1.67,0.0007,136129,6237,-2719,-3795,-2841,-107,-455,44,0,-5,-429,0,245,31
2020/07/31,2249.37,4,-17.64,-0.0078,130022,4716,-547,-3860,-2658,-129,-417,-292,-6,-4,-351,0,-299,-8
2020/07/30,2267.01,6,3.85,0.0017,135502,64,2228,-2342,423,-171,-438,11,-2,-12,-2151,0,30,19
2020/07/29,2263.16,6,6.17,0.0027,155005,476,2979,-3367,-1345,-295,-368,-329,-7,-91,-928,0,-44,-44
2020/07/28,2256.99,6,39.13,0.0176,175169,-10495,13112,-2219,-1440,-525,74,243,11,-76,-507,0,-344,-52
2020/07/27,2217.86,6,17.42,0.0079,142568,-2995,1676,1395,1968,-19,131,29,-179,-57,-476,0,16,-92
2020/07/24,2200.44,4,-15.75,-0.0071,171569,2880,841,-3678,-1172,-544,-431,-411,-42,-8,-1066,0,-78,35
2020/07/23,2216.19,4,-12.47,-0.0056,163289,7768,-2007,-5868,-3506,-2,-1119,-615,-81,37,-581,0,139,-31
2020/07/22,2228.66,4,-0.17,-0.0001,156518,2604,-3,-2418,-736,-232,-543,-528,16,-15,-378,0,-174,-7
2020/07/21,2228.83,6,30.63,0.0139,157593,-5676,4483,1435,3201,-186,-494,-511,-131,-25,-416,0,-206,-35
2020/07/20,2198.2,4,-2.99,-0.0014,120250,4070,-739,-3292,-1689,-703,-435,-61,-4,-8,-388,0,-24,-14
2020/07/17,2201.19,6,17.43,0.008,101911,-1120,1167,365,237,224,24,-244,53,-24,93,0,-372,-39
2020/07/16,2183.76,4,-18.12,-0.0082,113042,3005,-1322,-1834,-263,-97,-321,-136,-6,-38,-970,0,165,-14
2020/07/15,2201.88,6,18.27,0.0084,136413,-5995,2742,3346,4467,-418,-81,4,9,-42,-592,0,-38,-55
2020/07/14,2183.61,4,-2.45,-0.0011,116333,4186,71,-3958,-1678,-457,-201,-268,-1,-85,-1265,0,-278,-20
2020/07/13,2186.06,6,35.81,0.0167,104622,-2907,1053,2008,918,-50,-60,-1,-3,-19,1224,0,-123,-30
2020/07/10,2150.25,4,-17.65,-0.0081,120480,10373,-3475,-7077,-4460,-165,-654,-453,25,8,-1376,0,155,24
2020/07/09,2167.9,6,9.02,0.0042,120299,3167,64,-2878,-1627,-307,-135,-159,17,-28,-637,0,-390,36
2020/07/08,2158.88,4,-5.29,-0.0024,115675,6229,-3399,-2767,-1393,-244,-724,-492,-7,-15,110,0,-40,-21
2020/07/07,2164.17,4,-23.76,-0.0109,148583,8578,-3859,-4593,-1007,-319,-787,-388,61,-101,-2050,0,-70,-55
2020/07/06,2187.93,6,35.52,0.0165,116562,-3610,-2616,6231,5623,36,-62,137,7,-10,499,0,-47,42
2020/07/03,2152.41,6,17.04,0.008,86495,-883,148,1067,999,-207,-382,-124,23,-11,770,0,-302,-29
2020/07/02,2135.37,6,28.67,0.0136,107451,-2133,-170,2163,2458,123,-473,-249,16,-24,312,0,86,54
2020/07/01,2106.7,4,-1.63,-0.0008,102326,87,-1636,1507,1901,52,-71,-298,27,-35,-69,0,43,-2
2020/06/30,2108.33,6,14.85,0.0071,116990,-1651,-732,2397,1337,-8,154,-314,13,-7,1222,0,-27,14
2020/06/29,2093.48,4,-41.17,-0.0193,90258,5751,-2327,-3518,-2417,-112,-200,-478,-112,-19,-177,0,53,40
2020/06/26,2134.65,6,22.28,0.0105,98211,533,602,-1647,-1960,-4,-180,-312,-15,-39,864,0,498,13
2020/06/25,2112.37,4,-49.14,-0.0227,106926,13012,-2802,-10454,-6654,-349,-901,-526,2,0,-2024,0,205,38
2020/06/24,2161.51,6,30.27,0.0142,133247,-72,3515,-3902,265,-28,23,148,-4984,10,661,0,475,-16
2020/06/23,2131.24,6,4.51,0.0021,134960,3503,-547,-2814,-1427,-36,-663,-166,-139,-13,-368,0,-161,19
2020/06/22,2126.73,4,-14.59,-0.0068,100983,4302,-2519,-1933,-249,-306,-257,-382,-123,2,-616,0,164,-13
2020/06/19,2141.32,6,7.84,0.0037,123004,1647,468,-2163,-800,-102,-410,-337,-68,-16,-427,0,5,42
2020/06/18,2133.48,4,-7.57,-0.0035,110898,2943,-1621,-831,-288,-405,-130,-216,3,-16,220,0,-486,-2
2020/06/17,2141.05,6,3,0.0014,154584,1525,-530,-1136,-1779,-153,-219,104,6,-2,907,0,139,2
2020/06/16,2138.05,6,107.23,0.0528,138370,-5948,1080,4800,4155,-96,13,-81,47,-22,782,0,119,-51
2020/06/15,2030.82,4,-101.48,-0.0476,182424,12372,-4785,-7615,-3708,-346,-1113,-598,-44,-14,-1790,0,-15,45
2020/06/12,2132.3,4,-44.48,-0.0204,149607,5558,-2623,-2862,-2017,33,-499,-683,5,2,296,0,-48,-24
2020/06/11,2176.78,4,-18.91,-0.0086,169870,12717,-1205,-11843,-7399,-142,37,-775,-540,-36,-2986,0,289,42
2020/06/10,2195.69,6,6.77,0.0031,128881,-1692,-476,2157,2416,-37,282,-143,-56,-38,-265,0,-14,26
2020/06/09,2188.92,6,4.63,0.0021,146898,4131,-230,-3998,-1835,-1,-624,-27,14,-41,-1482,0,58,39
2020/06/08,2184.29,6,2.42,0.0011,131455,3789,114,-3716,-1191,-483,-132,47,-24,0,-1930,0,-149,-37
2020/06/05,2181.87,6,30.69,0.0143,127789,-3194,-720,4053,3630,11,-63,167,11,-5,302,0,-173,34
2020/06/04,2151.18,6,4.18,0.0019,160340,-3348,465,2978,4782,-584,-825,561,-13,-33,-910,0,-87,-7
2020/06/03,2147,6,59.81,0.0287,169988,-13181,2102,11344,10331,588,966,632,28,-14,-1188,0,-212,-52
2020/06/02,2087.19,6,22.11,0.0107,102329,-98,-501,350,-34,405,-199,250,-6,21,-86,0,220,29
2020/06/01,2065.08,6,35.48,0.0175,98396,-4455,1089,3250,949,558,219,4,-27,-10,1557,0,103,12
2020/05/29,2029.6,6,1.06,0.0005,140845,1897,-1989,-201,-434,62,575,-148,-41,18,-233,0,302,-9
2020/05/28,2028.54,4,-2.66,-0.0013,144792,-2841,609,2225,1032,319,88,-198,-28,23,986,0,12,-5
2020/05/27,2031.2,6,1.42,0.0007,126350,3216,-2175,-727,-645,-82,-17,-77,40,31,23,0,-336,22
2020/05/26,2029.78,6,35.18,0.0176,125453,-4799,144,3416,2660,-193,104,-57,-49,-14,967,0,1240,-2
2020/05/25,1994.6,6,24.47,0.0124,79603,957,-1406,347,-118,-419,648,-304,2,-56,596,0,110,-8
2020/05/22,1970.13,4,-28.18,-0.0141,95097,9361,-4767,-4484,-2513,-179,-411,-558,-57,0,-763,0,-127,18
2020/05/21,1998.31,6,8.67,0.0044,86369,2904,735,-3882,-3421,-310,-239,14,-15,65,25,0,214,28
2020/05/20,1989.64,6,9.03,0.0046,82486,-1818,808,981,-78,-22,211,247,-3,74,552,0,48,-19
2020/05/19,1980.61,6,43.5,0.0225,119183,-11869,3706,8431,5235,14,518,490,149,113,1909,0,-221,-48
2020/05/18,1937.11,6,9.83,0.0051,93943,300,-864,339,-245,-107,-72,-41,4,95,706,0,290,-66
2020/05/15,1927.28,6,2.32,0.0012,97233,2234,-4722,2426,416,-23,18,-146,-23,54,2129,0,60,1
2020/05/14,1924.96,4,-15.46,-0.008,94690,7865,-5541,-2372,-664,-53,103,70,-166,69,-1732,0,27,20
2020/05/13,1940.42,6,18.25,0.0095,90123,2153,-3206,935,-126,-106,-45,89,7,102,1014,0,88,29
2020/05/12,1922.17,4,-13.23,-0.0068,96818,6057,-3110,-2985,-2925,85,582,-37,-22,75,-742,0,33,5
2020/05/11,1935.4,4,-10.42,-0.0054,77527,5112,-1745,-3631,-1516,-809,-356,-257,-45,86,-733,0,219,45
2020/05/08,1945.82,6,17.21,0.0089,79415,-2431,468,1704,1819,-225,-269,-91,-57,86,442,0,275,-16
2020/05/07,1928.61,4,-0.15,-0.0001,73833,2534,-3126,564,1363,-105,-783,-68,2,125,30,0,102,-74
2020/05/06,1928.76,6,33.39,0.0176,85507,-1,-3190,3090,932,113,70,-156,-11,167,1974,0,56,44
2020/05/04,1895.37,4,-52.19,-0.0268,102619,17000,-9462,-8059,-4975,149,-1013,-353,-27,171,-2010,0,479,42
2020/04/29,1947.56,6,13.47,0.007,105251,-4870,2349,2521,1212,-357,-41,79,30,166,1432,0,-9,8
2020/04/28,1934.09,6,11.32,0.0059,103750,856,-1267,238,-226,115,-97,17,-9,44,393,0,154,18
2020/04/27,1922.77,6,33.76,0.0179,81716,-5491,192,5278,3059,251,-120,187,-10,2,1909,0,29,-9
2020/04/24,1889.01,4,-25.72,-0.0134,96473,6327,-2321,-4230,-2228,1,-315,-221,-51,-11,-1403,0,210,14
2020/04/23,1914.73,6,18.58,0.0098,91242,-155,-1063,1000,-533,41,331,177,-21,22,981,0,217,0
2020/04/22,1896.15,6,16.77,0.0089,94286,3177,-366,-3098,-3544,-346,-241,-287,-61,2,1380,0,275,11
2020/04/21,1879.38,4,-18.98,-0.01,138631,7094,-5296,-1903,-1834,-85,74,-473,-9,18,406,0,91,14
2020/04/20,1898.36,4,-16.17,-0.0084,119159,9559,-4935,-4848,-3840,-133,-118,-196,-10,-1,-547,0,269,-44
2020/04/17,1914.53,6,57.46,0.0309,141277,-6057,3229,2356,1108,-381,319,393,57,-6,865,0,514,-43
2020/04/16,1857.07,4,-0.01,0,107107,3888,-5677,1362,-1003,31,-26,16,18,29,2297,0,436,-10
2020/04/14,1857.08,6,31.32,0.0172,99958,-4530,-299,4679,1801,21,50,316,25,44,2420,0,168,-17
2020/04/13,1825.76,4,-34.94,-0.0188,95167,7587,-2954,-4575,-3801,-165,-514,-477,-14,7,389,0,-92,33
2020/04/10,1860.7,6,24.49,0.0133,120099,2519,-562,-2059,-3774,10,-9,-435,3,36,2110,0,97,3
2020/04/09,1836.21,6,29.07,0.0161,105173,2940,-1805,-1295,-2189,106,1694,-52,-163,-14,-676,0,137,22
2020/04/08,1807.14,4,-16.46,-0.009,111265,4519,-1360,-2819,-3613,10,340,-80,96,24,403,0,-354,14
2020/04/07,1823.6,6,31.72,0.0177,116289,1492,-1969,328,461,-100,416,-270,-8,7,-177,0,130,18
2020/04/06,1791.88,6,66.44,0.0385,109574,-8430,-1973,10360,6285,245,502,534,48,46,2699,0,88,-45
2020/04/03,1725.44,6,0.58,0.0003,101537,3486,-2901,-833,-1498,-14,243,-168,70,105,429,0,228,18
2020/04/02,1724.86,6,39.4,0.0234,101522,2700,-6234,3599,864,187,491,-55,-5,93,2023,0,-66,1
2020/04/01,1685.46,4,-69.18,-0.0394,121105,11507,-5782,-6199,-2719,-247,-743,-600,-11,103,-1981,0,443,30
2020/03/31,1754.64,6,37.52,0.0219,139053,3845,-720,-2901,-2430,-281,-608,77,69,206,66,0,-233,10
2020/03/30,1717.12,4,-0.61,-0.0004,90810,1985,-4272,2235,78,290,253,121,21,137,1333,0,50,0
2020/03/27,1717.73,6,31.49,0.0187,128519,1730,-3750,1300,-97,-121,-293,192,57,80,1483,0,692,27
2020/03/26,1686.24,4,-18.52,-0.0109,123741,7165,-5350,-2137,-2124,-43,-154,-231,146,28,239,0,278,43
2020/03/25,1704.76,6,94.79,0.0589,126122,4283,-3261,-948,-484,74,84,-709,16,71,0,0,-105,31
2020/03/24,1609.97,6,127.51,0.086,104814,-4623,-818,5024,932,160,1788,-65,-39,53,2195,0,422,-5
2020/03/23,1482.46,4,-83.69,-0.0534,96452,9200,-6427,-3611,-2737,114,-896,-578,-65,-93,645,0,815,22
2020/03/20,1566.15,6,108.51,0.0744,106329,2003,-5844,3115,-56,578,336,315,65,-71,1949,0,712,11
2020/03/19,1457.64,4,-133.56,-0.0839,119324,2421,-6178,2898,1893,-163,-1799,-319,-294,-216,3797,0,829,29
2020/03/18,1591.2,4,-81.24,-0.0486,95763,9136,-5105,-5145,-3530,-85,-547,-414,-4,-92,-470,0,1066,48
2020/03/17,1672.44,4,-42.42,-0.0247,97090,6009,-10030,3502,2807,-314,-134,-436,-52,-185,1819,0,518,0
2020/03/16,1714.86,4,-56.58,-0.0319,85938,9262,-6814,-3465,-5306,-114,333,-646,31,12,2226,0,988,28
2020/03/13,1771.44,4,-62.89,-0.0343,133769,4462,-11650,5847,-470,587,124,71,-138,-56,5729,0,1317,21
2020/03/12,1834.33,4,-73.94,-0.0387,113099,5388,-8909,2756,1714,198,-64,326,116,123,341,0,745,18
2020/03/11,1908.27,4,-54.66,-0.0278,85980,10886,-6879,-4837,-3584,-71,-435,-431,-28,25,-312,0,786,44
2020/03/10,1962.93,6,8.16,0.0042,91336,3114,-9876,6112,5034,380,-968,5,-238,83,1815,0,669,-20
2020/03/09,1954.77,4,-85.45,-0.0419,87969,12799,-13125,-463,-3812,210,-269,-535,-159,169,3932,0,738,50
2020/03/06,2040.22,4,-45.04,-0.0216,72335,7915,-5640,-2625,-4545,247,-247,-380,-11,73,2238,0,346,3
2020/03/05,2085.26,6,25.93,0.0126,79543,3213,-1472,-2015,-3152,-87,-234,20,-8,56,1390,0,261,14
2020/03/04,2059.33,6,45.18,0.0224,78291,-37,1533,-1706,-2344,16,-49,393,29,68,180,0,238,-27
2020/03/03,2014.15,6,11.64,0.0058,86878,7090,-3123,-4473,-5257,221,512,95,51,29,-126,0,454,51
2020/03/02,2002.51,6,15.5,0.0078,78110,4615,-7831,2702,967,395,861,500,77,91,-190,0,541,-28
2020/02/28,1987.01,4,-67.88,-0.033,99279,2298,-6312,3576,3867,221,-186,-150,-16,-106,-53,0,462,-24
2020/02/27,2054.89,4,-21.88,-0.0105,72411,3464,-3985,-19,-1410,132,406,-57,18,41,848,0,522,17
2020/02/26,2076.77,4,-26.84,-0.0128,80603,7886,-8762,236,-1031,212,92,11,127,93,731,0,612,27
2020/02/25,2103.61,6,24.57,0.0118,89522,6103,-7695,1135,-250,199,656,-387,134,0,782,0,449,7
2020/02/24,2079.04,4,-83.8,-0.0387,93154,6084,-7860,1916,712,203,301,-165,65,214,585,0,-184,44
2020/02/21,2162.84,4,-32.66,-0.0149,71058,2837,2149,-5350,-3397,-10,-333,-177,75,-3,-1502,0,333,29
2020/02/20,2195.5,4,-14.84,-0.0067,76776,1924,1107,-3355,-2868,-69,-92,-55,26,15,-311,0,314,9
2020/02/19,2210.34,6,1.46,0.0007,71070,1600,-2211,-117,67,-126,-340,-24,-32,2,336,0,720,8
2020/02/18,2208.88,4,-33.29,-0.0148,64114,7670,-3068,-5281,-3125,-11,-548,-557,-32,21,-1028,0,664,14
2020/02/17,2242.17,4,-1.42,-0.0006,56392,1959,-2287,139,99,-12,-468,-46,-3,17,552,0,194,-6
