Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,2474.860107421875,2481.02001953125,2465.93994140625,2479.64990234375,2479.64990234375,262200
2018-01-03,2484.6298828125,2493.39990234375,2481.909912109375,2486.35009765625,2486.35009765625,331100
2018-01-04,2502.5,2502.5,2466.449951171875,2466.4599609375,2466.4599609375,333800
2018-01-05,2476.85009765625,2497.52001953125,2475.510009765625,2497.52001953125,2497.52001953125,308800
2018-01-08,2510.699951171875,2515.3701171875,2494.179931640625,2513.280029296875,2513.280029296875,311400
2018-01-09,2510.72998046875,2524.72998046875,2498.409912109375,2510.22998046875,2510.22998046875,374300
2018-01-10,2516.330078125,2516.820068359375,2493.97998046875,2499.75,2499.75,444000
2018-01-11,2496.860107421875,2502.52001953125,2483.820068359375,2487.909912109375,2487.909912109375,444300
2018-01-12,2499.8701171875,2500.8701171875,2482.14990234375,2496.419921875,2496.419921875,438800
2018-01-15,2510.969970703125,2513.300048828125,2496.179931640625,2503.72998046875,2503.72998046875,404600
2018-01-16,2504.159912109375,2524.550048828125,2498.550048828125,2521.739990234375,2521.739990234375,341600
2018-01-17,2517.18994140625,2521.969970703125,2506.489990234375,2515.429931640625,2515.429931640625,336700
2018-01-18,2527.669921875,2532.080078125,2512.68994140625,2515.81005859375,2515.81005859375,333100
2018-01-19,2519.669921875,2524.330078125,2513.090087890625,2520.260009765625,2520.260009765625,351800
2018-01-22,2516.89990234375,2517.1201171875,2488.43994140625,2502.110107421875,2502.110107421875,343000
2018-01-23,2510.35009765625,2536.60009765625,2507.9599609375,2536.60009765625,2536.60009765625,370000
2018-01-24,2533.860107421875,2547.219970703125,2531.31005859375,2538.0,2538.0,371100
2018-01-25,2536.9599609375,2564.429931640625,2536.72998046875,2562.22998046875,2562.22998046875,514600
2018-01-26,2560.68994140625,2574.760009765625,2553.530029296875,2574.760009765625,2574.760009765625,400600
2018-01-29,2588.8701171875,2607.10009765625,2587.550048828125,2598.18994140625,2598.18994140625,437500
2018-01-30,2590.409912109375,2599.169921875,2567.070068359375,2567.739990234375,2567.739990234375,397000
2018-01-31,2557.3701171875,2597.139892578125,2553.010009765625,2566.4599609375,2566.4599609375,403100
2018-02-01,2578.909912109375,2583.739990234375,2564.590087890625,2568.5400390625,2568.5400390625,595100
2018-02-02,2565.989990234375,2565.989990234375,2519.60009765625,2525.389892578125,2525.389892578125,481800
2018-02-05,2487.340087890625,2503.989990234375,2476.239990234375,2491.75,2491.75,442400
2018-02-06,2437.02001953125,2460.280029296875,2409.3798828125,2453.31005859375,2453.31005859375,582800
2018-02-07,2483.719970703125,2484.179931640625,2396.56005859375,2396.56005859375,2396.56005859375,460100
2018-02-08,2400.169921875,2423.8798828125,2393.4599609375,2407.6201171875,2407.6201171875,362400
2018-02-09,2346.72998046875,2372.89990234375,2346.72998046875,2363.77001953125,2363.77001953125,489100
2018-02-12,2380.489990234375,2397.89990234375,2367.31005859375,2385.3798828125,2385.3798828125,352300
2018-02-13,2402.889892578125,2421.800048828125,2388.5400390625,2395.18994140625,2395.18994140625,423400
2018-02-14,2412.469970703125,2426.6298828125,2408.02001953125,2421.830078125,2421.830078125,305700
2018-02-19,2452.52001953125,2455.1201171875,2428.14990234375,2442.820068359375,2442.820068359375,322100
2018-02-20,2433.35009765625,2438.47998046875,2411.22998046875,2415.1201171875,2415.1201171875,421500
2018-02-21,2417.72998046875,2432.449951171875,2404.02001953125,2429.64990234375,2429.64990234375,432300
2018-02-22,2417.179931640625,2422.6201171875,2405.22998046875,2414.280029296875,2414.280029296875,349500
2018-02-23,2427.1298828125,2451.52001953125,2427.1298828125,2451.52001953125,2451.52001953125,300600
2018-02-26,2465.35009765625,2466.080078125,2447.860107421875,2457.64990234375,2457.64990234375,321300
2018-02-27,2474.080078125,2480.7900390625,2456.139892578125,2456.139892578125,2456.139892578125,271200
2018-02-28,2447.110107421875,2460.1201171875,2426.2099609375,2427.360107421875,2427.360107421875,367600
